"Name"	"Log_Galactocentric_Distance"	"Heliocentric_Distance"	"Metallicity"	"Reddening"	"Apparent_Distance_Modulus"	"Number_of_Populations_by_eye"	"UV_Color_Spread_of_RGB"	"Absolute_Vmagnitude"	"Apparent_Vmag"	"UB_color"	"BV_color"	"VR_color"	"VI_color"	"Ellipticity"	"Radial_Velocity"	"Radial_Velocity_Error"	"LSR_Radial_Velocity"	"Central_Sigma_V"	"Central_Sigma_V_Error"	"Central_Concentration"	"Core_Radius"	"Half_Light_Radius"	"Central_Surface_Brightness"	"Log_Luminosity_Density"	"Log_Core_Relaxtime"	"Log_HMR_Relaxtime"	"Age_from_compilation"	"Age_compilation_err"	"Age_Reference"	"RGB_median_color"	"Mean_Period_of_RRab"	"Number_of_RRab"	"Oosterhoff_Type"	"Galaxy_Population"	"Horizontal_Branch_Magnitude"	"Specific_RRLyrae_Frequency"	"Horizontal_Branch_Ratio"	"Horizontal_Branch_Type"	"FeH_Dotter2010"	"Alpha_Fe_Dotter"	"Age_Dotter2010"	"Age_err_Dotter2010"	"Integrated_Spectral_FeH"	"Age_Roediger2014"	"Age_err_Roediger2014"	"Fe_H_Roediger2014"	"Fe_H_Roediger2014_err"	"Mg_Fe"	"Mg_Fe_err"	"C_Fe"	"C_Fe_err"	"N_Fe"	"N_Fe_err"	"Ca_Fe"	"Ca_Fe_err"	"O_Fe"	"O_Fe_err"	"Na_Fe"	"Na_Fe_err"	"Si_Fe"	"Si_Fe_err"	"Cr_Fe"	"Cr_Fe_err"	"Ti_Fe"	"Ti_Fe_err"	"Longitude"	"Latitude"	"X"	"Y"	"Z"	"R.A."	"Dec"	"RA_hour"	"RA_mins"	"RA_secs"	"Dec_deg"	"Dec_mins"	"Dec_secs"
21	5927	0.662757832	7.7	-0.49	0.45	15.82	0	0.169230769	-7.81	8.01	0.85	1.31	0.79	1.63	0.04	-107.5	0.9	-107.2	99.999	99.999	1.6	0.42	1.1	16.91	4.09	8.39	8.94	10.75	0.38	VandenBerg2013	1.602	99.999	99.999	99.999	99.999	16.55	0	-1	7	-0.5	0.2	12.25	0.75	-0.64	12.7	0.9	-0.49	0.44	-0.12	99.99	99.99	99.99	99.99	99.99	0.34	99.99	0.33	99.99	1.23	99.99	0.74	99.99	-0.11	99.99	0.37	99.99	326.60412	4.8598	6.4	-4.2	0.7	232.00287	-50.67303	15	28	0.69	-50	40	22.9
22	5986	0.681241237	10.4	-1.59	0.28	15.96	3	0.169230769	-8.44	7.52	0.3	0.9	0.58	1.22	0.06	88.9	3.7	92.9	99.999	99.999	1.23	0.47	0.98	17.67	3.41	8.58	9.18	12.25	0.75	VandenBerg2013	1.5	0.652	7	OoII	OH	16.52	3.4	0.97	1	-1.6	0.2	13.25	1	-1.53	12.2	0.6	-1.59	0.12	0.25	99.99	99.99	99.99	99.99	99.99	99.99	99.99	0.65	99.99	0.7	99.99	0.3	99.99	0.15	99.99	0.22	99.99	337.02216	13.26838	9.3	-4	2.4	236.5125	-37.78642	15	46	3	-37	47	11.1
23	6093	0.579783597	10	-1.75	0.18	15.56	3	0.236923077	-8.23	7.33	0.21	0.84	0.56	1.11	0	8.1	1.5	16.7	12.4	0.6	1.68	0.15	0.61	15.11	4.79	7.78	8.8	12.4	0	Salaris2002	1.3	99.999	99.999	99.999	99.999	16.1	3.1	0.93	0	-1.7	0.2	13.5	1	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	352.67323	19.46303	9.4	-1.2	3.3	244.26004	-22.97608	16	17	2.41	-22	58	33.9
24	6101	1.049218023	15.4	-1.98	0.05	16.1	2	0.084615385	-6.94	9.16	0.06	0.68	0.5	99.999	0.05	361.4	1.7	357	99.999	99.999	0.8	0.97	1.05	20.29	1.65	9.21	9.22	12.25	0.5	VandenBerg2013	1.061	99.999	99.999	99.999	99.999	16.6	0	0.84	2	-1.8	0.2	13	1	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	317.74609	-15.82483	11	-10	-4.2	246.4505	-72.20219	16	25	48.12	-72	12	7.9
25	6121	0.770852012	2.2	-1.16	0.35	12.82	99.999	0	-7.19	5.63	0.43	1.03	0.69	1.42	0	70.7	0.2	78.6	4	0.2	1.65	1.16	4.33	17.95	3.64	7.9	8.93	11.5	0.38	VandenBerg2013	1.7	0.553	31	OoI	OH	13.45	52.7	-0.06	4	-1.2	0.4	12.5	0.5	-1.15	12.5	0.7	-1.16	0.09	0.5	0.08	-0.46	0.28	0.65	0.41	0.3	0.09	0.31	0.14	0.29	0.19	0.5	0.07	-0.03	0.07	0.31	0.07	350.97292	15.97218	2.1	-0.3	0.6	245.89675	-26.52575	99.999	99.999	99.999	99.999	99.999	99.999
26	6144	0.431363764	8.9	-1.76	0.36	15.86	2	0.101538462	-6.85	9.01	0.35	0.96	0.6	1.1	0.25	193.8	0.6	201.9	99.999	99.999	1.55	0.94	1.63	20.05	2.31	8.78	9.14	12.75	0.5	VandenBerg2013	1.491	99.999	99.999	99.999	99.999	16.4	0	1	1	-1.8	0.2	13.5	1	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	351.92887	15.7006	8.5	-1.2	2.4	246.80775	-26.0235	16	27	13.86	-26	1	24.6
27	6171	0.51851394	6.4	-1.02	0.33	15.05	2	0.236923077	-7.12	7.93	0.69	1.1	0.72	1.45	0.02	-34.1	0.3	-23	4.1	0.3	1.53	0.56	1.73	18.94	3.08	8.06	9	12	0.75	VandenBerg2013	1.499	0.538	15	OoI	OH	15.7	31	-0.73	6	-1	0.2	12.75	0.75	-1.13	14	0.8	-1.02	0.02	0.51	0.04	99.99	99.99	99.99	99.99	0.06	0.32	0.17	0.18	0.37	0.2	0.54	0.08	99.99	99.99	0.4	0.1	3.3733	23.01056	5.9	0.3	2.5	248.13275	-13.05378	16	32	31.86	-13	3	13.6
28	6205	0.924279286	7.1	-1.53	0.02	14.33	99.999	0	-8.55	5.78	-0.02	0.68	99.999	0.86	0.11	-244.2	0.2	-228	7.1	0.4	1.53	0.62	1.69	16.59	3.55	8.51	9.3	12	0.38	VandenBerg2013	0.95	99.999	99.999	99.999	99.999	14.9	1.7	0.97	0	-1.6	0.2	13	0.5	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	99.999	59.00736	40.91292	2.8	4.6	4.7	250.42183	36.45986	99.999	99.999	99.999	99.999	99.999	99.999
29	6218	0.653212514	4.8	-1.37	0.19	14.01	2	0.22	-7.31	6.7	0.2	0.83	0.56	1.14	0.04	-41.4	0.2	-27.9	4.5	0.4	1.34	0.79	1.77	18.1	3.23	8.19	8.87	13	0.5	VandenBerg2013	1.213	99.999	99.999	99.999	99.999	14.6	0	0.97	1	-1.3	0.2	13.25	0.75	-1.32	12.7	0.4	-1.37	0.12	0.46	0.14	1.18	0.44	99.99	99.99	0.31	0.14	0.31	0.34	0.32	0.27	0.36	0.07	-0.04	0.19	0.27	0.13	15.71519	26.31328	4.2	1.2	2.1	251.80908	-1.94853	16	47	14.18	-1	56	54.7
30	6254	0.662757832	4.4	-1.56	0.28	14.08	2	0.186153846	-7.48	6.6	0.23	0.9	0.53	1.21	0	75.2	0.7	88.5	6.6	0.8	1.38	0.77	1.95	17.7	3.54	8.21	8.9	11.75	0.38	VandenBerg2013	1.29	99.999	99.999	99.999	99.999	14.65	0	0.98	0	-1.55	0.2	13	1.25	-1.51	11.4	0.5	-1.53	0.06	0.44	0.13	-0.77	0.37	1.01	0.45	0.33	0.11	0.23	0.24	0.17	0.27	0.28	0.07	0.01	0.15	0.26	0.12	15.13705	23.07598	3.9	1.1	1.7	254.28771	-4.10031	16	57	9.05	-4	6	1.1
